county_names,n,Percent
"Oakland,Wayne",731,0.09447141884181401
Ohio,1377,0.1779577889810915
Oklahoma,2193,0.283414256525442
Olmsted,1462,0.18894283768362802
Oneida,3304,0.4269953048609487
Onondaga,4996,0.6456623919749696
Onslow,565,0.07301826490509564
Ontario,1388,0.1793793835190668
Orange,12781,1.6517636172602255
"Orange,Pinellas",731,0.09447141884181401
"Orange,Seminole",711,0.09188670150004072
Orleans,2292,0.2962086073672199
Oswego,2589,0.3345916598925533
Otero,526,0.06797806608863771
Otsego,1462,0.18894283768362802
Ottawa,10352,1.3378496961018587
Otter Tail,731,0.09447141884181401
Ouachita,2141,0.27669399143683143
"Outagamie,Winnebago,Calumet",731,0.09447141884181401
Oxford,415,0.053632884841795916
Palm Beach,1200,0.15508304050639782
Park,491,0.06345481074053444
Passaic,688,0.08891427655700142
Paulding,1462,0.18894283768362802
Payne,731,0.09447141884181401
Peach,140,0.01809302139241308
"Pender,Duplin",406,0.052469762037997934
Pennington,731,0.09447141884181401
Penobscot,1323,0.17097905215830358
Peoria,731,0.09447141884181401
Perry,941,0.12161095093043363
Petersburg City,427,0.055183715246859895
Philadelphia,2097,0.27100761328493017
Pickaway,486,0.06280863140509112
Pierce,1462,0.18894283768362802
Pike,245,0.03166278743672289
Pima,1600,0.20677738734186374
Pinellas,1729,0.22344881419630153
Piscataquis,421,0.054408300044327895
Pitkin,202,0.0261056451519103
Pitt,559,0.07224284970256364
Placer,1158,0.1496551340886739
Plaquemines,731,0.09447141884181401
Platte,1346,0.17395147710134287
"Platte,Clay",2193,0.283414256525442
Pleasants,731,0.09447141884181401
Plumas,731,0.09447141884181401
Polk,731,0.09447141884181401
Pontotoc,731,0.09447141884181401
Portage,1216,0.15715081437981646
"Portage,Summit",731,0.09447141884181401
"Portsmouth City,Isle Of Wight,Chesapeake City,Suffolk City",646,0.0834863701392775
Preble,486,0.06280863140509112
Preston,731,0.09447141884181401
"Prince William,Fairfax",646,0.0834863701392775
"Prince William,Fairfax,Fauquier,Loudoun,Fairfax City,Manassas City,Manassas Park City",646,0.0834863701392775
Providence,390,0.05040198816457929
Pueblo,203,0.026234881018998967
Pulaski,1998,0.2582132624431524
Putnam,731,0.09447141884181401
Queens,2720,0.3515215584811684
"Radford,Montgomery,Pulaski",646,0.0834863701392775
"Randall,Potter",1462,0.18894283768362802
Randolph,1470,0.18997672462033732
Red River,696,0.08994816349371074
Reno,710,0.09175746563295205
Rensselaer,1381,0.17847473244944617
"Rice,Dakota",731,0.09447141884181401
Richland,1315,0.16994516522159428
"Richland,Lexington",135,0.017446842056969756
Richmond,1422,0.18377340300008144
Riverside,1852,0.23934482584820732
Rock,731,0.09447141884181401
Rock Island,1462,0.18894283768362802
Rockingham,1094,0.14138403859499935
Rockland,4386,0.566828513050884
Routt,202,0.0261056451519103
Rowan,744,0.09615148511396665
Russell,645,0.08335713427218883
Sacramento,696,0.08994816349371074
Sagadahoc,415,0.053632884841795916
Saginaw,1462,0.18894283768362802
Saint Bernard,183,0.02365016367722567
Saint Charles,2685,0.3469983031330651
Saint Clair,2924,0.37788567536725604
Saint Croix,731,0.09447141884181401
"Saint Croix,Pierce",731,0.09447141884181401
Saint Johns,339,0.043810958943057386
Saint Lawrence,3506,0.45310095001285894
Saint Louis,2924,0.37788567536725604
"Saint Louis,Jefferson",1462,0.18894283768362802
"Saint Louis,Saint Charles",731,0.09447141884181401
"Saint Louis,Saint Louis City",731,0.09447141884181401
Saint Mary,1610,0.2080697460127504
Saint Marys,731,0.09447141884181401
Saint Tammany,1632,0.21091293508870104
Salem,505,0.06526411287977575
Saline,731,0.09447141884181401
Salt Lake,984,0.12716809321524622
San Benito,93,0.012018935639245831
San Bernardino,1462,0.18894283768362802
San Diego,1308,0.16904051415197363
San Francisco,3655,0.47235709420907
"San Francisco,San Mateo",2852,0.3685806929368722
San Joaquin,268,0.03463521237976218
"San Juan,Grand",63,0.008141859626585885
San Luis Obispo,2758,0.35643252143053766
San Mateo,1041,0.13453453763930012
San Miguel,203,0.026234881018998967
Sandoval,322,0.04161394920255008
Sandusky,486,0.06280863140509112
Sangamon,1402,0.18118868565830812
Santa Barbara,1925,0.24877904414567983
Santa Clara,2782,0.3595341822406656
Santa Cruz,2768,0.35772488010142434
"Santa Cruz,Monterey",394,0.05091893163293395
Santa Fe,415,0.053632884841795916
Sarasota,309,0.039933882930397444
Saratoga,731,0.09447141884181401
"Sarpy,Douglas",611,0.07896311479117422
Schenectady,731,0.09447141884181401
Schoharie,731,0.09447141884181401
Schoolcraft,731,0.09447141884181401
Schuyler,731,0.09447141884181401
Scioto,485,0.06267939553800245
Scotland,644,0.08322789840510016
Scott,409,0.052857469639263924
"Scott,Cape Girardeau",731,0.09447141884181401
"Scott,Hennepin,Carver",731,0.09447141884181401
"Scott,Hennepin,Dakota",731,0.09447141884181401
"Scott,New Madrid",731,0.09447141884181401
Scotts Bluff,616,0.07960929412661755
Seminole,731,0.09447141884181401
Seneca,1334,0.17240064669627891
Shasta,1018,0.13156211269626084
Shawnee,1294,0.16723121201273233
Sheboygan,731,0.09447141884181401
Shelby,1604,0.20729433081021842
